"presence","x","y","cells","chl_mean_surf","o2_mean_surf","sithick_mean_surf","sithick_min_surf","sws_mean_surf","so_mean_benth","sws_mean_benth","sws_min_benth","sws_max_benth","aspect","bathymetry_mean","terrain_ruggedness_index","selected","fold"
0,83.5750028342898,-54.2750005814277,2302072,0.457222104072571,337.994659423828,0.0019629776943475,0,0.10660257935524,34.6805610656738,0.0816209390759468,0.085677795112133,0.188492804765701,132.457550048828,-4712.5556640625,16.6041259765625,TRUE,1
0,85.4750028987248,-54.2750005814277,2302110,0.412100911140442,328.145660400391,0.0011703607160598,0,0.0693421438336372,34.6806030273438,0.0346973203122616,0.268585562705994,0.257037222385406,28.4072971343994,-4779.861328125,15.9547729492188,TRUE,1
0,108.025003663466,-54.2750005814277,2302561,0.383558124303818,336.011077880859,0.00028140438371338,0,0.128837361931801,34.6816177368164,0.0517477728426456,0.0499178133904934,0.198501020669937,161.826324462891,-3544.61108398438,46.4339904785156,TRUE,1
0,124.775004231511,-54.2750005814277,2302896,0.345214486122131,325.027740478516,3.17901140078902e-06,0,0.142004251480103,34.6852264404297,0.0429583005607128,0.0976178869605064,0.219561785459518,160.260696411133,-4588.27783203125,62.8021240234375,TRUE,2
0,135.075004580816,-54.2750005814277,2303102,0.34488046169281,323.889923095703,0,0,0.16704235970974,34.6974220275879,0.0153011027723551,0.0811636820435524,0.109217718243599,39.595874786377,-3884.91674804688,46.2603759765625,TRUE,1
0,-96.4750032717692,-54.3250005784763,2305671,0.36981850862503,305.844573974609,0,0,0.114870682358742,34.7104835510254,0.0118007296696305,0.0302779395133257,0.0597472377121449,53.5549278259277,-4485.611328125,41.5243530273438,TRUE,1
0,-38.2250012963294,-54.3250005784763,2306836,0.963180720806122,343.948394775391,0.00217906502075493,0,0.0355337336659431,34.2365989685059,0.0181589052081108,0.0650319680571556,0.0149279264733195,278.822265625,-223.83332824707,12.4479141235352,TRUE,2
0,-23.4750007961107,-54.3250005784763,2307131,0.327548325061798,348.385925292969,0.00433321995660663,0,0.132446184754372,34.6654968261719,0.0137687670066953,0.0759544223546982,0.0560133382678032,282.529815673828,-4448.4443359375,48.2811889648438,TRUE,2
0,26.7250009063284,-54.3250005784763,2308135,0.413032054901123,345.070648193359,0.0122989397495985,0,0.0708989351987839,34.6574325561523,0.0109840324148536,0.0705950260162354,0.0359792709350586,311.317596435547,-5556.22216796875,69.524169921875,TRUE,2
0,44.6250015133734,-54.3250005784763,2308493,0.381373077630997,342.483947753906,0.0018874917877838,0,0.151020720601082,34.6718254089355,0.0171747710555792,0.0419081412255764,0.070831649005413,127.180618286133,-3902.47216796875,44.822998046875,TRUE,2
0,46.4250015744171,-54.3250005784763,2308529,0.388435810804367,343.135009765625,0.00250304583460093,0,0.0915646553039551,34.6676902770996,0.00596011010929942,0.087789461016655,0.0638789758086205,17.3284397125244,-4087.27783203125,99.8298034667969,TRUE,2
0,68.0750023086364,-54.3250005784763,2308962,0.352475374937057,340.754058837891,0.000407664920203388,0,0.0473369359970093,34.6858329772949,0.0038609504699707,0.0579152628779411,0.0655306205153465,238.323211669922,-4233.33349609375,26.8262329101562,TRUE,1
0,134.175004550294,-54.3250005784763,2310284,0.34226730465889,323.739410400391,0,0,0.134900525212288,34.6955261230469,0.012150845490396,0.0515907071530819,0.0699982643127441,77.6994247436523,-4025.97216796875,32.5174255371094,TRUE,2
0,140.975004780904,-54.3250005784763,2310420,0.344473332166672,330.330902099609,0,0,0.150583773851395,34.7176513671875,0.00628432538360357,0.126646265387535,0.0763961151242256,243.91145324707,-2924.41674804688,42.9166259765625,TRUE,1
0,-164.425005576166,-54.3750005755249,2311512,0.345241665840149,305.189117431641,0,0,0.166861906647682,34.711540222168,0.018324313685298,0.0761590301990509,0.0482206977903843,265.935241699219,-5070.75,125.090270996094,TRUE,1
